id,kampong,mukim,district,gender,age,education,q_fbspeed,q_fbqual,q_mbqual,q_fbexpend,q_fbusage,q_limiting
561,Kg. Kupang,Mukim Keriam,Tutong,Female,36,Bachelor Degree,51,Very Poor,Good,118,300,"To be honest, websites rarely answer all my questions that they ask for."
562,Kg. Pandan B,Mukim Kuala Belait,Belait,Male,20,O Level,10,Fair,Fair,118,290,It's honestly really frustrating when I'm trying to make an important call or use it for work while I'm in a weak spot.
563,Kg. Mata-Mata,Mukim Gadong B,Brunei-Muara,Male,41,Bachelor Degree,120,Excellent,Very Good,117,240,I'm really frustrated when streaming services buffering constantly – it just feels like we're living too far behind the times here.
564,Perumahan Negara Rimba Kawasan 2,Mukim Gadong A,Brunei-Muara,Female,58,Bachelor Degree,189,Good,Very Good,117,240,I don't really check my email unless it's absolutely necessary because I'm terrified of getting phished and losing all my info.
565,Perumahan Negara Rimba Kawasan 2,Mukim Gadong A,Brunei-Muara,Male,48,Bachelor Degree,50,Good,Good,117,130,"I'd often use my phone's hotspot if I didn't have reliable internet at home, which would be super inconvenient if I had to pay for that each time."
566,Kg. Madang,Mukim Berakas B,Brunei-Muara,Male,12,Bachelor Degree,52,Very Good,Excellent,30,120,It's hard to justify spending so much money on internet when I'm already living paycheck to paycheck.
567,Kg. Pandan A,Mukim Kuala Belait,Belait,Female,43,Bachelor Degree,517,Good,Very Good,117,300,It's really frustrating when I see videos start buffering mid-stream because our internet can't handle anything more than 15mbps.
568,Kg. Pangkalan Gadong,Mukim Gadong B,Brunei-Muara,Male,43,Master Degree,160,Fair,Good,30,120,I usually just check my phone for news instead of paying for an internet service that doesn't seem worth it.
569,Kg. Kota Batu,Mukim Kota Batu,Brunei-Muara,Male,42,Bachelor Degree,55,Excellent,Very Poor,117,840,It's frustrating to want to stay connected with family and friends when you're stuck without reliable internet at home.
570,Kg. Mumong B,Mukim Kuala Belait,Belait,Male,22,National Diploma,51,Very Good,Poor,48,130,I get frustrated when trying to have video calls with family members because my plan's slow upload speed just can't handle it without buffering throughout.
571,Kg. Meragang,Mukim Serasa,Brunei-Muara,Male,48,Primary School,52,Excellent,Excellent,117,440,It's just not worth spending all that money on every new phone or computer I buy because of all those extra fees.
572,Kg. Sungai Akar,Mukim Berakas B,Brunei-Muara,Male,54,National Diploma,53,Good,Very Good,30,50,It's hard for me to stay connected with family and friends when the extra one-time fee can be over $100 for a decent router.
573,Perkhemahan Berakas,Mukim Berakas A,Brunei-Muara,Male,48,Diploma,32,Excellent,Fair,48,100,It's kinda frustrating to not be able to stream or download what I want when I'm on the road because of my limited data plan subscription.
574,Kg. Katimahar,Mukim Sengkurong,Brunei-Muara,Female,42,A Level,37,Very Good,Good,117,290,Streaming services just really cut into what's left of my monthly budget after paying for groceries and rent.
575,Kg. Panchor Mentiri,Mukim Mentiri,Brunei-Muara,Male,46,PhD,137,Very Good,Very Good,117,600,I try to stream everything at night when I'm offline just so I don't overspend on my monthly data limit.
576,Kg. Parit Pangkalan Batu,Mukim Pangkalan Batu,Brunei-Muara,Male,43,Bachelor Degree,57,Very Good,Fair,30,230,I end up watching way less YouTube than I'd like to because it just isn't budget-friendly for me at this time.
577,Kg. Pandan C,Mukim Kuala Belait,Belait,Female,42,Lower Secondary,46,Excellent,Good,48,110,Monthly bills are cramping my budget so hard that I'm really considering canceling my internet altogether.
578,Kg. Pengiran Siraja Muda Delima Satu,Mukim Berakas A,Brunei-Muara,Female,35,National Diploma,177,Excellent,Good,117,270,It's really frustrating to get online because all those extra fees just add up quickly.
579,Kg. Lumut Tersusun,Mukim Liang,Belait,Male,52,O Level,47,Poor,Good,48,360,I get some of my stuff done online just fine at work so I really don't need to worry about having it at home.
580,Kg. Sungai Buloh,Mukim Mentiri,Brunei-Muara,Female,29,National Diploma,133,Good,Very Good,116,190,It's hard to find reliable information online when I don't know how to use advanced search techniques or interpret complicated statistics.
581,Kg. Pangkalan Gadong,Mukim Gadong B,Brunei-Muara,Male,33,Bachelor Degree,60,Very Good,Fair,116,250,"I struggle to keep up with the latest tech trends because I feel pretty self-taught, and it's hard when everyone seems to be learning through online courses and social media at the same time."
582,Kg. Tunggulian,Mukim Liang,Belait,Male,46,Bachelor Degree,51,Excellent,Excellent,116,290,I rarely upgrade my internet plan because the billing setup is just so convoluted and hard to navigate every single time it's time for a renewal.
583,Kg. Tanah Jambu,Mukim Mentiri,Brunei-Muara,Male,57,Bachelor Degree,57,Very Good,Fair,116,390,"I try to use mobile data only when I absolutely have to, since it's just so unreliable with dropped calls almost everywhere I go."
584,Kg. Meragang,Mukim Serasa,Brunei-Muara,Female,41,National Diploma,133,Very Good,Excellent,30,120,"Unfortunately, I never use their services because I just can't afford the one-time fee."
585,Kg. Panchor Mentiri,Mukim Mentiri,Brunei-Muara,Male,54,O Level,60,Very Good,Fair,29,130,I stick to Netflix and YouTube mostly because it's just easier than trying to stream movies and TV shows from other websites when I'm running low on mobile data.
586,Kg. Mulaut,Mukim Sengkurong,Brunei-Muara,Female,33,O Level,847,Excellent,Good,116,290,It's really frustrating when I try to stream a movie but get kicked off halfway through because I've used up all my data for the month.
587,Kg. Meragang,Mukim Serasa,Brunei-Muara,Female,59,A Level,31,Good,Good,116,630,It's really frustrating when I try to stream videos or upload files and get told my package would be full in just a day.
588,Kg. Selayun,Mukim Sengkurong,Brunei-Muara,Male,17,Higher National Diploma,16,Fair,Very Good,116,290,It's super frustrating when I need to stream a big file for work but my slow internet cuts out halfway through every time.
589,Kg. Batang Mitus,Mukim Kiudang,Tutong,Male,51,National Diploma,191,Good,Good,116,250,It's just impossible for me to use the service regularly because having to register and pay that upfront is way too much.
590,Kg. Pengiran Siraja Muda Delima Satu,Mukim Berakas A,Brunei-Muara,Male,51,Master Degree,20,Very Good,Excellent,48,260,It's frustrating that there are so many dropped calls and slow data speeds when I'm just trying to scroll through social media.
591,Kg. Lupak Luas,Mukim Lumapas,Brunei-Muara,Male,46,Lower Secondary,48,Good,Good,115,260,I rarely stream videos online or make video calls because it's just so frustrating when the laggy connection cuts off halfway through.
592,Kg. Sumbiling Lama Amo,Mukim Amo,Temburong,Female,13,Higher National Diploma,251,Good,Very Good,115,370,It's really frustrating when you're at home with no bars left and can't even finish streaming the game because I never saw that coming for just $10 more.
593,Kg. Mulaut,Mukim Sengkurong,Brunei-Muara,Male,31,O Level,39,Fair,Very Good,115,180,I'm too anxious to use streaming services late at night because knowing the limited plan will eat away most of my speed when it's really needed.
594,Kg. Tanjong Kindana,Mukim Kota Batu,Brunei-Muara,Female,39,Higher National Diploma,73,Good,Good,48,260,I'm really frustrated with how slow my browsing is because it's hard when streaming videos for family nights keeps buffering no matter what router I try or upgrade I do.
595,Kg. Batong,Mukim Pangkalan Batu,Brunei-Muara,Female,36,Bachelor Degree,587,Very Good,Good,115,120,It's hard to justify taking a pay cut so I'm really careful who and how much I use online for work.
596,Kg. Meragang,Mukim Serasa,Brunei-Muara,Male,19,Master Degree,147,Fair,Good,115,500,It's just really inconvenient trying to stream shows without blowing my mobile data allowance half the month over.
597,Kg. Parit Kianggeh,Mukim Kianggeh,Brunei-Muara,Male,53,Master Degree,214,Excellent,Good,115,430,It's honestly frustrating to deal with their new billing system every month – it feels like they're trying to be too complicated on purpose.
598,Kg. Pasai,Mukim Sengkurong,Brunei-Muara,Female,30,Bachelor Degree,90,Fair,Fair,114,280,It's really frustrating for me to try new online services because I don't feel like I can figure out how they work even with all the tutorials and guides available online.
599,Kg. Panchor Mentiri,Mukim Mentiri,Brunei-Muara,Male,18,O Level,74,Good,Good,114,200,"I'm really frustrated with how slow our internet can get, especially at night when I'm trying to work from home."
600,Kg. Meragang,Mukim Serasa,Brunei-Muara,Female,37,O Level,57,Fair,Good,114,230,I mostly hang out with friends at their house with better Wi-Fi than my apartment.
601,Kg. Bukit Beruang,Mukim Telisai,Tutong,Female,39,O Level,52,Very Good,Very Good,114,310,I've been looking for ways to get cheaper internet because the monthly bills are just out of control for me.
602,Kg. Lambak Kiri,Mukim Berakas A,Brunei-Muara,Male,28,Lower Secondary,73,Fair,Good,29,130,I mostly avoid using certain websites just because the one-time registration fee is so steep it outweighs all the free trial periods I'd get out of them.
603,Kg. Mumong A,Mukim Kuala Belait,Belait,Female,49,Primary School,55,Good,Very Good,114,220,It's hard on my tight budget when every little streaming service or extra feature costs so much money.
604,Kg. Mulaut,Mukim Sengkurong,Brunei-Muara,Female,22,Higher National Diploma,21,Very Good,Good,114,360,I rarely stream music or watch videos because I just can't afford the super expensive monthly plans that all the services require right now.
605,Kg. Batong,Mukim Pangkalan Batu,Brunei-Muara,Female,43,Lower Secondary,39,Very Good,Fair,114,140,"I never download new software anymore just because every single piece of it costs way more than I'm willing to pay upfront, that's how often something breaks or needs an update."
606,Kg. Kandang,Mukim Pekan Tutong,Tutong,Male,34,Diploma,57,Good,Excellent,114,320,I feel like I'm only getting by on my plan sometimes when trying to stream 4K videos because it keeps buffering and slowing down.
607,Kg. Pangkalan Gadong,Mukim Gadong B,Brunei-Muara,Female,31,O Level,49,Fair,Good,114,210,It's really frustrating when we have to plan our whole week around what little service we get on the weekends at home.
608,Kg. Sungai Lalit,Mukim Liang,Belait,Male,38,A Level,142,Good,Good,113,110,I'd be happy to surf the web more if streaming services and websites could offer better deals and packages that fit our budget a bit better.
609,Kg. Sengkurong A,Mukim Sengkurong,Brunei-Muara,Female,31,Bachelor Degree,190,Poor,Excellent,113,490,I don't think it's worth paying too much for a service that just doesn't deliver on its promises.
610,Kg. Subok Kota Batu,Mukim Kota Batu,Brunei-Muara,Female,41,National Diploma,80,Very Good,Fair,113,130,I hardly make ends meet online since poor mobile signal keeps dropping out in the middle of video meetings and orders I'm trying to place.
611,Kg. Pengiran Siraja Muda Delima Satu,Mukim Berakas A,Brunei-Muara,Male,38,O Level,728,Poor,Good,29,130,Living rurally is hard when you can't get decent internet no matter how much satellite service providers advertise their coverage is universal up here.
612,Kg. Pangkalan Gadong,Mukim Gadong B,Brunei-Muara,Female,49,O Level,40,Fair,Good,113,410,I've been hesitant to take the plunge with a new internet service provider because they want an extra $50 upfront that I'm not sure I'll use before I switch back to my current plan.
613,Kg. Beribi,Mukim Gadong B,Brunei-Muara,Female,38,Lower Secondary,59,Poor,Very Good,5,130,It's super frustrating to try and make video calls during the day because the signal just keeps dropping or I get complete silence on the other end.
614,Kg. Tanah Jambu,Mukim Mentiri,Brunei-Muara,Male,50,Master Degree,48,Excellent,Very Good,113,590,It's hard when I want to keep in touch with family and friends back home but the cost of making phone calls from here just puts me in debt every month.
615,Kg. Mumong B,Mukim Kuala Belait,Belait,Male,46,Master Degree,843,Fair,Fair,29,70,"I don't stream much because all my free trials and promotions are up after a month, so it's hard to justify paying more even when full plans sound better."
616,Perumahan Negara Lambak Kanan Kawasan 4,Mukim Berakas B,Brunei-Muara,Male,29,O Level,55,Very Good,Very Good,48,140,It's really frustrating when we try to stream something new and it just buffers over and over because my old devices can't handle it.
617,Kg. Pandan B,Mukim Kuala Belait,Belait,Male,41,Master Degree,31,Poor,Good,112,100,"To be honest, I've stopped subscribing to this service because it's just not worth the cost anymore."
618,Kg. Sungai Radang,Mukim Batu Apoi,Temburong,Male,28,National Certificate,267,Good,Fair,112,710,I'm really frustrated with my internet service providers - it's basically unusable on weekends when I need it most for streaming.
619,Kg. Kiulap,Mukim Gadong B,Brunei-Muara,Male,52,A Level,52,Good,Good,112,190,I rarely buy music or watch movies online because the one-time registration and installation costs are really out of my budget.
620,Kg. Pengiran Siraja Muda Delima Satu,Mukim Berakas A,Brunei-Muara,Female,57,PhD,565,Good,Good,29,120,"It really frustrates me when my phone runs out of data after just one week on holiday, leaving pretty much everything I want to look at off-limits for the rest of my trip."
621,Kg. Tanah Jambu,Mukim Mentiri,Brunei-Muara,Male,61,O Level,652,Very Good,Very Good,112,820,"It's really frustrating when I'm trying to make an important call on the go, but the connection keeps dropping or the sound is just terrible."
622,Kg. Orang Kaya Besar Imas,Mukim Berakas A,Brunei-Muara,Male,38,A Level,54,Fair,Very Good,112,260,I have to pay for internet every month like it's just another utility bill and that one-time charge was way out of my budget back then.
623,Perumahan Negara Lumut Kawasan 2,Mukim Liang,Belait,Male,33,O Level,204,Poor,Good,48,200,"I feel like their website is really outdated and it shows in how hard it is to find things they're offering on there, which kind of defeats the purpose of coming online, you know?"
624,Kg. Bukit Beruang,Mukim Telisai,Tutong,Female,30,Bachelor Degree,800,Good,Very Good,48,130,It's frustrating when I need to stream something for work and there's just no reliable signal out here where I live.
625,Kg. Burong Lepas,Mukim Kilanas,Brunei-Muara,Female,29,O Level,27,Very Good,Good,48,120,"It's frustrating when I need to watch videos or upload updates, but my slow connection just can't handle it without kicking me off halfway through."
626,Kg. Sungai Buloh,Mukim Mentiri,Brunei-Muara,Female,52,Higher National Diploma,179,Good,Very Good,112,470,"To be honest, it's really frustrating when I try to stream my favorite shows in HD – the service always buffers because there's never enough bandwidth for it."
627,STKRJ Rimba,Mukim Gadong A,Brunei-Muara,Female,45,Lower Secondary,74,Fair,Good,111,440,I usually just stay at friends' houses or family gatherings because they've got good Wi-Fi and I don't have it at home.
628,Kg. Lambak B,Mukim Berakas A,Brunei-Muara,Male,39,Bachelor Degree,225,Good,Fair,29,110,It's frustrating for me to get started with a new internet service because that one-time registration fee is just too steep upfront.
629,Perumahan Negara Lorong Tengah Seria,Mukim Seria,Belait,Female,43,O Level,263,Fair,Very Good,111,480,I have to cap who I can video call on Skype all the time because it eats up my limited plan and there's always room for error when data speed drops mid-conversation.
630,Kg. Orang Kaya Besar Imas,Mukim Berakas A,Brunei-Muara,Female,39,O Level,190,Fair,Good,48,90,I try to limit my streaming usage to just what's absolutely necessary because it would blow me right over my budget if I kept up on everything I want to watch.
631,Kg. Belimbing,Mukim Kota Batu,Brunei-Muara,Male,27,Lower Secondary,41,Very Good,Fair,111,130,It's really frustrating when I try to use a new app or website and can't figure out how to even start without some online instructions or guidance.
632,Kg. Parit Kianggeh,Mukim Kianggeh,Brunei-Muara,Male,27,Higher National Diploma,51,Good,Very Good,111,700,"Sometimes I have to cancel plans with friends or family last minute due to sketchy reception, totally frustrating!"
633,Kg. Kebia,Mukim Kiudang,Tutong,Female,42,Bachelor Degree,28,Excellent,Excellent,111,250,It's really frustrating when you need to stay connected for work/school and our rural area doesn't get reliable internet service.
634,Kg. Tanah Jambu,Mukim Mentiri,Brunei-Muara,Male,49,Higher National Diploma,175,Good,Good,111,270,It's hard for me to stream or download huge files when I have to worry that going over my limited data plan will mean an extra bill at the end of the month.
635,Kg. Bukit Beruang,Mukim Telisai,Tutong,Female,42,Bachelor Degree,43,Fair,Good,47,330,It's really frustrating when everything I need is only available in areas with strong internet coverage that I don't have because I'm stuck with this slow data plan subscription.
636,Kg. Jangsak,Mukim Kilanas,Brunei-Muara,Female,39,A Level,53,Very Good,Very Good,47,120,I struggle to watch videos or stream music when my phone's data overages every month and I have to wait until next cycle for it to renew itself.
637,Kg. Bolkiah A,Mukim Sungai Kebun,Brunei-Muara,Male,16,Higher National Diploma,51,Good,Very Good,47,330,Companies just rip you off by selling slow speeds and extra fees that don't even get used when everything is done online.
638,Kg. Tanah Jambu,Mukim Mentiri,Brunei-Muara,Male,29,National Certificate,49,Good,Good,111,670,I struggle to justify the cost of my internet bill every month.
639,Kg. Bukit Udal,Mukim Tanjong Maya,Tutong,Male,26,Lower Secondary,239,Excellent,Very Good,111,520,It's frustrating when you finally want to stream your favorite show but you get dropped 10 minutes into the episode due to super slow internet.
640,Kg. Sabun,Mukim Serasa,Brunei-Muara,Female,42,Master Degree,1094,Excellent,Good,111,740,"It's really frustrating when that one extra GB or minute of talk time makes all the difference in streaming my favorite shows, so I try to limit myself way too much."
641,Kg. Pengiran Siraja Muda Delima Satu,Mukim Berakas A,Brunei-Muara,Male,36,O Level,220,Good,Very Good,111,670,"I've been trying to sign up for a streaming service but their search function is terrible, I need something that can actually find what I'm looking for quickly."
642,Kg. Beribi,Mukim Gadong B,Brunei-Muara,Male,54,Lower Secondary,38,Very Poor,Good,111,220,I never bother to pay bills online because it's just too much hassle to figure out what everything is and how much I owe each month.
643,STKRJ Tungku Kawasan 1,Mukim Gadong A,Brunei-Muara,Male,35,O Level,37,Excellent,Very Good,110,230,"It's frustrating when you can't get a good connection no matter how many times you pick up your router, I've tried multiple providers but this area isn't getting any faster."
644,Kg. Bukit Beruang,Mukim Telisai,Tutong,Female,36,Bachelor Degree,446,Good,Excellent,110,260,I get frustrated using Wi-Fi at home because it's just too slow for streaming movies with friends out of town.
645,Kg. Panchor Mentiri,Mukim Mentiri,Brunei-Muara,Female,62,Bachelor Degree,859,Good,Good,110,540,I wish I had more reliable job opportunities so I could afford decent internet plans every month.
646,Kg. Bolkiah B,Mukim Sungai Kebun,Brunei-Muara,Male,18,O Level,197,Poor,Good,110,330,It's tough for me to figure out how to use certain new features on websites when technology is moving so fast.
647,Kg. Lambak A,Mukim Berakas A,Brunei-Muara,Male,57,Master Degree,267,Fair,Very Good,47,140,I usually just end up watching YouTube videos and that's basically it for me - not exactly getting much out of the internet when I'm not learning something new.
648,Kg. Mulaut,Mukim Sengkurong,Brunei-Muara,Female,35,Lower Secondary,56,Good,Good,47,40,The internet just feels like more hassle than it's worth in our current living situation.
649,Perumahan Negara Rimba Kawasan 4,Mukim Gadong A,Brunei-Muara,Female,28,Bachelor Degree,192,Fair,Good,110,500,"It's really frustrating when you're trying to stream your favorite show from home, but it keeps buffering because they're too far away to get reliable internet."
650,Kg. Telisai,Mukim Telisai,Tutong,Male,42,Primary School,23,Very Good,Good,29,70,I keep trying to install new streaming apps and they just throw an error saying the device can't handle it.
651,Kg. Pandan A,Mukim Kuala Belait,Belait,Male,22,Master Degree,247,Excellent,Very Good,110,300,It's a total game changer if new smartphones came with built-in signal boosters – would greatly improve my daily usage on the go.
652,Kg. Tanah Jambu,Mukim Mentiri,Brunei-Muara,Male,22,Lower Secondary,675,Good,Poor,109,210,It's hard for me to justify dropping hundreds on internet service every 6 months when it feels like just one more month would cost me half that.
653,STKRJ Mata-Mata Kawasan 1,Mukim Gadong B,Brunei-Muara,Female,21,National Certificate,52,Fair,Very Good,29,80,I'm constantly tempted to cancel my subscription when my bank statement arrives showing another month's worth of overpriced internet bills.
654,Kg. Kapok,Mukim Serasa,Brunei-Muara,Male,35,Master Degree,181,Fair,Very Good,47,80,I hate streaming new movies because it just kills me – I get an error message saying the bandwidth isn't available for what I'm using at this time.
655,Kg. Pandan A,Mukim Kuala Belait,Belait,Male,40,O Level,53,Fair,Good,109,210,I rarely buy anything online unless we can offer a free trial or subscription option because the upfront fees are just too steep for me sometimes.
656,Kg. Panchor Murai,Mukim Pangkalan Batu,Brunei-Muara,Male,27,Lower Secondary,51,Good,Good,109,360,"I usually work from home while traveling abroad, but it takes days to find reliable Wi-Fi when I'm on the road."
657,Kg. Kiarong,Mukim Gadong B,Brunei-Muara,Male,48,National Diploma,395,Good,Excellent,29,220,I often skip calls from friends who live far away because it's hard when our connection drops mid-conversation to where I have no signal at all.
658,STKRJ Mata-Mata Kawasan 1,Mukim Gadong B,Brunei-Muara,Female,33,A Level,55,Fair,Very Good,109,570,I've tried to switch to a different provider every few months because I just can't get decent speeds out here.
659,Kg. Lambak A,Mukim Berakas A,Brunei-Muara,Male,39,O Level,6,Very Good,Very Good,109,290,"I can only play that one game with a very slow internet connection, which makes it really frustrating to stream music or videos."
660,Pekan Kuala Belait,Mukim Kuala Belait,Belait,Female,30,A Level,181,Very Good,Very Good,109,210,I rarely watch as much videos as I want on Netflix because it just seems affordable to me and they have so many shows and movies available forever.
661,Kg. Sungai Hanching,Mukim Berakas B,Brunei-Muara,Male,41,Master Degree,48,Excellent,Good,29,120,I never use online services because the cost is just too steep every time I try to sign up - those extra fees add up fast!
662,Kg. Sungai Bakong,Mukim Liang,Belait,Male,41,O Level,174,Poor,Very Good,108,580,It's frustrating when I try to fix something online and can't even find the right instructions because I don't know what I'm doing.
663,Kg. Pengiran Siraja Muda Delima Satu,Mukim Berakas A,Brunei-Muara,Female,25,Bachelor Degree,132,Good,Fair,108,220,"The one-time fees are just not feasible for us when you factor in how often we need to update our devices and access the internet, it's always gonna be a stretch that far."
664,Kg. Jangsak,Mukim Kilanas,Brunei-Muara,Male,40,Higher National Diploma,138,Excellent,Good,108,260,I struggle to learn new things online with everything feeling so overwhelming and technical.
665,Perumahan Negara Lambak Kanan Kawasan 2,Mukim Berakas B,Brunei-Muara,Female,52,Master Degree,130,Good,Good,108,240,I'm tired of paying too much for internet that rarely works reliably enough to be worth it.
666,Kg. Tungku,Mukim Gadong A,Brunei-Muara,Female,26,Bachelor Degree,124,Excellent,Fair,108,280,I don't stay home more often since my neighbor gets free satellite internet and it's way faster than what I've got at home.
667,Kg. Birau,Mukim Kiudang,Tutong,Male,47,A Level,230,Very Good,Poor,108,180,I ended up spending so much time researching topics that aren't covered on this site it just feels like the resources aren't useful.
668,Kg. Mentiri,Mukim Mentiri,Brunei-Muara,Female,42,Bachelor Degree,16,Fair,Very Good,47,300,It's really frustrating when I'm trying to make an important call in a rural area where service totally drops.
669,Kg. Sinarubai,Mukim Kilanas,Brunei-Muara,Male,50,Diploma,178,Very Good,Fair,107,290,I've always tried to cut back on streaming and social media use just to stay within budget.
670,Perumahan Negara Lumut Kawasan 1,Mukim Liang,Belait,Female,39,Bachelor Degree,58,Fair,Very Good,107,330,I get Wi-Fi at work so that's why I don't actually spring for my own internet connection yet.
671,Kg. Kilanas,Mukim Kilanas,Brunei-Muara,Female,35,Bachelor Degree,21,Very Good,Good,107,360,I'd rather not spend too much money on internet when most streaming services are free already.
672,Pekan Kuala Belait,Mukim Kuala Belait,Belait,Male,37,O Level,40,Fair,Good,107,480,It's hard for us to move when we know we can just pull out our phones and stay connected wherever we go.
673,Kg. Panchor Mentiri,Mukim Mentiri,Brunei-Muara,Female,14,National Diploma,113,Very Poor,Excellent,107,170,It's hard to justify spending over $100 a month on internet when my neighbor can get half the bandwidth for way cheaper.
674,Kg. Tanjong Nangka,Mukim Sengkurong,Brunei-Muara,Female,42,O Level,91,Very Good,Good,107,310,I'm not willing to splurge on internet every month because it's just too pricey for my budget.
675,Kg. Kiarong,Mukim Gadong B,Brunei-Muara,Female,36,O Level,255,Good,Very Good,107,340,It's really frustrating when I try to download videos or big files but keep getting the error because we're still on a limited plan with barely enough bandwidth to even load the whole thing.
676,Kg. Bukit Barun,Mukim Lamunin,Tutong,Male,41,National Diploma,204,Excellent,Good,107,130,It's frustrating when I'm stuck in an area with super weak signal and can't even get a decent phone call out.
677,Kg. Jangsak,Mukim Kilanas,Brunei-Muara,Male,48,National Diploma,802,Good,Good,107,290,It's hard to justify spending that much on internet when our family's budget is already pretty tight.
678,Kg. Tungku,Mukim Gadong A,Brunei-Muara,Female,21,National Diploma,57,Excellent,Good,107,160,We rarely get good internet here at home because where we live seems only to receive speeds like our grandparents did back in '90s.
679,Kg. Sungai Orok,Mukim Berakas B,Brunei-Muara,Female,47,O Level,45,Good,Good,107,200,It's hard when our phone insurance doesn't cover data outside of our home plan.
680,Perumahan Negara Lorong Tengah Seria,Mukim Seria,Belait,Female,52,Bachelor Degree,137,Fair,Good,107,160,It's hard when you need to watch your favorite shows on Netflix but having to cut back on cable just becomes so expensive and inconvenient.
681,Kg. Beribi,Mukim Gadong B,Brunei-Muara,Male,49,O Level,20,Poor,Very Good,106,300,I've cancelled my subscription way too often over the past year just because this service isn't offering me enough bang for my buck anymore.
682,Kg. Panchor Mentiri,Mukim Mentiri,Brunei-Muara,Male,51,O Level,63,Excellent,Very Good,106,170,"It's hard to join new services because all the fees are just adding up for me, you know?"
683,Kg. Kapok,Mukim Serasa,Brunei-Muara,Male,61,National Diploma,107,Excellent,Fair,106,280,It's frustrating when you're used to faster speeds online everywhere else because mine just can't seem to keep up no matter how many times I reset the cables.
684,Kg. Sungai Hanching,Mukim Berakas B,Brunei-Muara,Male,62,Higher National Diploma,764,Fair,Good,106,470,"I'm really frustrated with trying to get my smart speaker to work with our family's old devices, it's just too inconvenient."
685,Kg. Penanjong,Mukim Pekan Tutong,Tutong,Male,39,Lower Secondary,72,Good,Very Good,106,120,I hardly ever shop or bank online because just thinking about entering all that personal info and potentially getting hacked keeps me up at night.
686,Kg. Pandan A,Mukim Kuala Belait,Belait,Male,31,Higher National Diploma,16,Good,Very Good,29,120,No service at all in the countryside is really limiting my ability to work from home regularly.
687,Kg. Panaga,Mukim Seria,Belait,Male,37,Master Degree,55,Good,Good,47,270,I honestly can't think of any reason to upgrade my router when it seems like it's not making a noticeable difference in my internet speed.
688,Pekan Seria Kawasan 1,Mukim Seria,Belait,Female,51,Master Degree,56,Good,Excellent,29,190,It's super hard on our budget when our internet costs are just taking over the last of our affordable expenses every month.
689,Kg. Sungai Buloh,Mukim Mentiri,Brunei-Muara,Female,42,National Diploma,35,Very Good,Very Good,106,110,It's hard for me to stream videos when my monthly plan just isn't big enough to cover everything I want to watch.
690,Kg. Perpindahan Mata-Mata,Mukim Gadong B,Brunei-Muara,Female,59,Bachelor Degree,55,Good,Very Good,106,780,"I've tried streaming shows during the night in other countries when I'm abroad, but here it's just frustratingly slow and buffering all the time."
691,Kg. Lambak A,Mukim Berakas A,Brunei-Muara,Female,36,Master Degree,55,Good,Good,106,350,I'm never subscribed to any service again because they're expensive and don't live up to what they promise.
692,Kg. Parit Kianggeh,Mukim Kianggeh,Brunei-Muara,Male,46,Bachelor Degree,51,Fair,Very Good,106,280,It's hard for me to navigate some websites when I'm not super tech-savvy because they always have too many options and confusing menus that just make my head spin.
693,Kg. Sungai Buloh,Mukim Mentiri,Brunei-Muara,Male,39,Master Degree,8,Fair,Very Good,106,120,I've had to set up multiple accounts just to simplify things and now I'm the one who forgets which one I need to pay on time.
694,Kg. Kilanas,Mukim Kilanas,Brunei-Muara,Female,22,National Diploma,876,Good,Good,105,270,I have to opt for cheaper options like Verizon Fios instead of staying with Comcast because their prices just become too ridiculous for me and my family to afford every month.
695,Kg. Tagap,Mukim Sengkurong,Brunei-Muara,Female,33,Higher National Diploma,54,Very Good,Excellent,105,210,It's super expensive for me so I have to cut back on social media and streaming way too much because of that limited data plan/subscriptions.
696,Kg. Lambak A,Mukim Berakas A,Brunei-Muara,Male,58,National Diploma,835,Fair,Very Good,105,110,"I try to budget my life and stick to it, but high internet costs just feel like another expense I don't have space for in my budget."
697,Perumahan Negara Lambak Kanan Kawasan 1,Mukim Berakas B,Brunei-Muara,Female,39,Lower Secondary,105,Good,Very Good,105,180,"It's frustrating for me when I'm trying to get online for just 10 minutes, but my internet drops every single time."
698,Kg. Tanjong Nangka,Mukim Sengkurong,Brunei-Muara,Female,21,O Level,27,Fair,Very Good,105,250,I rarely stream videos or take online courses because it's hard when my family has to rely on our limited plan for everything!
699,Kg. Lumut Tersusun,Mukim Liang,Belait,Female,23,National Diploma,203,Very Good,Fair,105,260,I rarely upgrade or subscribe to new services due to feeling like I'm not getting enoughbang for my buck.
700,Perumahan Negara Rimba Kawasan 5,Mukim Gadong A,Brunei-Muara,Female,65,National Certificate,685,Fair,Good,105,430,I'm so frustrated when I try to stream a movie online and it cuts out halfway because the connection just can't keep up with how good the picture looks!
701,Kg. Kapok,Mukim Serasa,Brunei-Muara,Male,55,Lower Secondary,307,Very Good,Good,105,300,I take most of my work calls in a coffee shop that actually has decent Wi-Fi rather than dealing with spotty connections at home.
702,Kg. Bebatik,Mukim Pangkalan Batu,Brunei-Muara,Female,23,Diploma,60,Good,Good,47,170,I actually spend all day at home and get internet through cable/satellite TV instead.
703,Kg. Meragang,Mukim Serasa,Brunei-Muara,Female,35,A Level,59,Fair,Very Good,47,320,I mostly watch TV or play board games with family instead.
